neighborhood,project,developer,type,tif_npv_usd,cost_usd,tif_pct_of_cost,net_public_gain_usd,assessed_value_usd,actual_rebate_paid_usd,status,action_date,urban_renewal_area,is_batch_row,source_url
Downtown Des Moines,Financial Center building renovation (office-to-housing conversion),"Lawmark, LP",Residential,10000000,,,20552155,13607000,,approved,2025-01-27,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2025/25-030.pdf
Downtown Des Moines,1435 Mulberry 202-unit mixed-use apartment building,"1435 Mulberry, LLC",Mixed-use,5300000,62000000,8.5,18951064,1310000,,approved,2024-01-22,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2024/24-024.pdf
Downtown Des Moines,Five-story mixed-use building at 900 Vine Street,900 Vine LLC,Mixed-use,4500000,42250000,10.7,16681212,1170100,,approved,2026-07-13,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2026/26-254.pdf
Downtown Des Moines,701 Walnut Street tower (east side of former Younkers site),"701 Walnut Partnership, LLC",Residential,4273982,80000000,5.3,,1340000,,approved,2016-12-19,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2016/16-706.pdf
Downtown Des Moines,Hotel Fort Des Moines renovation,"Janssen Lodging, Inc.",Hotel,4118993,37000000,11.1,,15500000,,completed,2016-08-08,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2016/16-434.pdf
Downtown Des Moines,Carpenter Paper Warehouse renovation (106 SW 7th Street),"106 SW 7th Street, LLC",Industrial / warehouse,4000000,21900000,18.3,6551996,6150000,,completed,2023-08-07,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2023/23-360.pdf
Downtown Des Moines,Midland Building,"206 6th Avenue, LLC",Hotel,4000000,39700000,10.1,,8700000,161018,completed,2018-03-08,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2018/18-097.pdf
Downtown Des Moines,611 Fifth Avenue office building renovation,"611 Fifth Avenue, LLC",Office,3800000,23300000,16.3,9067925,8820000,161018,completed,2020-02-24,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2020/20-073.pdf
Downtown Des Moines,Historic renovation of 213 13th Street and new 5-story mixed-use building (two phases),"13th & Mulberry, LLC and 13th and Mulberry Multifamily, LLC (Josh Aberson, Byron Schafersman, Tim Rypma)",Mixed-use,3600000,22700000,15.9,8933928,3957000,,completed,2020-12-21,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2020/20-564.pdf
Downtown Des Moines,Urban Park Stairway Nodal Area at 701 Walnut Street,Employers Mutual Casualty (EMC) Company,Office,3500000,,,,1340000,50000,approved,2022-10-24,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2022/22-496.pdf
Downtown Des Moines,Wilkins Building (former Younkers),"Wilkins Redevelopment, LLC",Residential,3200000,27000000,11.9,,19125200,1637532,completed,2017-05-22,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2017/17-453.pdf
Downtown Des Moines,601 Locust conversion (Two Ruan building),"Ruan Redevelopment Partners, LLC",Residential,2770000,81200000,3.4,8825094,1310100,,approved,2024-06-17,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2024/24-274.pdf
Downtown Des Moines,Griffin Building historic renovation (mixed-use),"Des Moines Griffin Building, LLC",Mixed-use,1600000,12400000,12.9,3081426,6720000,,completed,2018-09-10,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2018/18-441.pdf
Downtown Des Moines,"Rehabilitation of Davidson Warehouse office building, 108 3rd Street",JDS Real Estate Investments LLC,Office,1300000,7400000,17.6,,1250000,,approved,2026-02-23,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2026/26-069.pdf
Downtown Des Moines,"215 SW 9th (5-story, 66-unit multi-family)","SW9 215, LLC (Kris Saddoris, Hubbell Realty Company)",Residential,1100000,12960000,8.5,7220226,0,,approved,2021-06-28,Metro Center Urban Renewal Area,False,https://councildocs.dsm.city/communications/2021/21-304.pdf
Downtown Des Moines,Argonne Apartments Building historic renovation,"Jarcor, LLC (Benchmark Real Estate Group; Joe Cordaro)",Residential,984000,7700000,12.8,2219331,7887000,,completed,2019-05-20,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2019/19-216.pdf
Downtown Des Moines,OpenLoop Health HQJ Program / Development Agreement 1st Amendment,"OpenLoop Health, Inc.",Office,,,,,31600000,,approved,2026-02-23,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2026/26-049.pdf
Downtown Des Moines,American Equity downtown office relocation (1100 Locust Street),American Equity Investment Life Insurance Company,Office,,9100000,,,63500000,,approved,2024-06-03,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2024/24-242.pdf
Downtown Des Moines,Maverik/Kum & Go (FJ Management) regional headquarters office,"Mav KG, LLC",Office,,1000000,,,63500000,8866285,approved,2023-11-06,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2023/23-504.pdf
Downtown Des Moines,OpenLoop Health office renovation/expansion at 317 6th Avenue,"OpenLoop Health, Inc.",Office,,18900000,,,5220000,,approved,2023-04-10,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2023/23-195.pdf
Downtown Des Moines,Nationwide/Allied Gateway Campus,Nationwide Mutual Insurance Company,Parking,,,,,0,21862816,approved,2022-09-12,Metro Center Urban Renewal Area,False,https://councildocs.dsm.city/communications/2022/22-434.pdf
Downtown Des Moines,Ballyard Lofts,"Ballyard Lofts; MCP Subsidiary #2, LLC",Residential,,,,,6860000,,approved,2022-04-18,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/agendas/ag20220418.pdf
Downtown Des Moines,1417 Walnut Street mixed-use (renovation),"Bronson Partners, LLC (Tim Rypma)",Mixed-use,,,,,3890600,150710,approved,2022-03-07,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2022/22-080.pdf
Downtown Des Moines,Landus headquarters and innovation center relocation,Landus Cooperative,Office,,,,,13900000,50000,approved,2021-12-20,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2021/21-575.pdf
Downtown Des Moines,Krause Group / Kum & Go corporate headquarters,"Krause Group, LTD. f/k/a Krause Holdings, Inc. and Linden Street Investments, LLC (Kyle Krause)",Office,,,,,81900000,8866285,completed,2019-12-16,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2019/19-534.pdf
Downtown Des Moines,Parkway Lofts,"Orton Development Company, LLC",Residential,,13500000,,,0,,approved,2018-04-23,,False,https://councildocs.dsm.city/communications/2018/18-215.pdf
Downtown Des Moines,Elliott Apartments,Elliott Coop Housing Association,Residential,,8200000,,,3650000,,approved,2017-10-09,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2017/17-720.pdf
Downtown Des Moines,Cityville on 9th,"Hubbell Realty Company, Hubbell Terminal Corporation, and 510 SW 9th Street, LLC (Rick Tollakson)",Residential,,50000000,,,5227000,266000,approved,2017-09-11,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2017/17-645.pdf
Downtown Des Moines,FHLB headquarters relocation and expansion,Federal Home Loan Bank of Des Moines,Office,,,,,2440100,1107048,completed,2017-04-17,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2017/17-380.pdf
Downtown Des Moines,Fifth and Walnut Parking Garage redevelopment (hotel/residential tower),"Blackbird Investments, LLC",Parking,,,,,1511000,,approved,2017-04-03,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2017/17-346.pdf
Downtown Des Moines,Carbon 550 (50-unit apartment project),Hubbell Realty Company,Residential,,8600000,,,8140000,500000,approved,2016-12-19,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2016/16-723.pdf
Downtown Des Moines,Edna M. Griffin Building restoration & conversion,Revive Community Development,Residential,,10500000,,,6720000,,completed,2016-12-05,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2016/16-675.pdf
Downtown Des Moines,43-unit multi-family housing project at 550 Watson Powell Jr. Way,"HRC 6th Street, LLC",Residential,,,,,8140000,,approved,2016-12-05,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/agendas/ag20161205.pdf
Downtown Des Moines,Liberty Building Rehabilitation & Parking Garage / Hyatt Place Hotel,"Liberty Des Moines, L.L.C. (assignee, Schulte Hospitality Group); Liberty Building Historic Rehab, LLC / 418 Hospitality, LLC (assignors)",Parking,,,,,2415000,616084,approved,2016-09-12,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2016/16-501.pdf
Historic East Village,Riverview multilevel parking structure and 218 E. 2nd Street office renovation,Riverview Parking LLC,Parking,6020000,36300000,16.6,9755865,7700000,,approved,2025-05-19,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2025/25-196.pdf
Historic East Village,Aston - 186-unit mixed-use apartment building at 603 E. 6th Street,"HOA Development, LLC",Mixed-use,4500000,44000000,10.2,16036600,801000,,approved,2023-06-26,DES MOINES UPPER EAST VILLAGE URBAN RENEWAL,False,https://councildocs.dsm.city/communications/2023/23-311.pdf
Historic East Village,District at 6th,"TWG Development, LLC d/b/a District at 6th, LLC",Residential,3500000,40600000,8.6,,39600000,1050000,completed,2017-08-14,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2017/17-575.pdf
Historic East Village,317 East 6th Street mixed-use apartments,"HOA EVMF, LLC",Mixed-use,2300000,21260000,10.8,9188704,24000000,,completed,2022-06-13,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2022/22-275.pdf
Historic East Village,"Element Hotel by Marriott (6-story, 112-room)","Swaps Cash, LLC (Lincoln and Lisa McIlravy, Members)",Hotel,2000000,22700000,8.8,13154633,987100,,approved,2020-09-14,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2020/20-409.pdf
Historic East Village,Threshing Warehouse - historic renovation/conversion of 108 SE 4th Street to office,"Threshing Warehouse, LLC",Office,1750000,13700000,12.8,3575351,527000,,approved,2026-06-29,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2026/26-229.pdf
Historic East Village,"Climate-controlled self-storage, 503 SE 12th Street","Des Moines Climate Controlled Self Storage, LLC",Other,1200000,15500000,7.7,2480212,0,,approved,2023-03-06,Metro Center Urban Renewal Area,False,https://councildocs.dsm.city/communications/2023/23-120.pdf
Historic East Village,Renovation of 217 East 2nd Street (Globe Hoist building) for commercial and office uses,"217 E Second LC (Jake Christensen, Christensen Development)",Office,1075000,8600000,12.5,4579666,3890000,,approved,2020-12-21,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2020/20-563.pdf
